Year	Industry	Status of innovation activity	Information	Competence required by the enterprise from not important (1) to highly important (5) and sufficiency of competence by industry
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Management of innovation activity, importance 4, competence at the needed level, share of enterprises (%)	18.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Management of innovation activity, importance 4, competence not at the needed level, share of enterprises (%)	9.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Management of innovation activity, importance 3, competence at the needed level, share of enterprises (%)	18.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Management of innovation activity, importance 3, competence not at the needed level, share of enterprises (%)	15.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Management of innovation activity, importance 2, competence at the needed level, share of enterprises (%)	7.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Management of innovation activity, importance 2, competence not at the needed level, share of enterprises (%)	6.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Management of innovation activity, importance 1, competence at the needed level, share of enterprises (%)	5.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Management of innovation activity, importance 1, competence not at the needed level, share of enterprises (%)	6.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 5, competence at the needed level, share of enterprises (%)	5.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 5, competence not at the needed level, share of enterprises (%)	2.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 4, competence at the needed level, share of enterprises (%)	7.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 4, competence not at the needed level, share of enterprises (%)	5.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 3, competence at the needed level, share of enterprises (%)	11.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 3, competence not at the needed level, share of enterprises (%)	12.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 2, competence at the needed level, share of enterprises (%)	10.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 2, competence not at the needed level, share of enterprises (%)	16.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 1, competence at the needed level, share of enterprises (%)	10.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 1, competence not at the needed level, share of enterprises (%)	19.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Some other competence areas, importance 5, competence at the needed level, share of enterprises (%)	0.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Some other competence areas, importance 5, competence not at the needed level, share of enterprises (%)	0.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Some other competence areas, importance 4, competence at the needed level, share of enterprises (%)	0.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Some other competence areas, importance 4, competence not at the needed level, share of enterprises (%)	0.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Some other competence areas, importance 3, competence at the needed level, share of enterprises (%)	1.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Some other competence areas, importance 3, competence not at the needed level, share of enterprises (%)	2.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Some other competence areas, importance 2, competence at the needed level, share of enterprises (%)	0.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Some other competence areas, importance 2, competence not at the needed level, share of enterprises (%)	0.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Some other competence areas, importance 1, competence at the needed level, share of enterprises (%)	4.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Some other competence areas, importance 1, competence not at the needed level, share of enterprises (%)	8.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Number of enterprises (no.)	3786
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	R&D and technology, importance 5, competence at the needed level, share of enterprises (%)	2.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	R&D and technology, importance 5, competence not at the needed level, share of enterprises (%)	0.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	R&D and technology, importance 4, competence at the needed level, share of enterprises (%)	6.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	R&D and technology, importance 4, competence not at the needed level, share of enterprises (%)	2.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	R&D and technology, importance 3, competence at the needed level, share of enterprises (%)	19.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	R&D and technology, importance 3, competence not at the needed level, share of enterprises (%)	7.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	R&D and technology, importance 2, competence at the needed level, share of enterprises (%)	9.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	R&D and technology, importance 2, competence not at the needed level, share of enterprises (%)	5.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	R&D and technology, importance 1, competence at the needed level, share of enterprises (%)	31.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	R&D and technology, importance 1, competence not at the needed level, share of enterprises (%)	15.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Business competence, importance 5, competence at the needed level, share of enterprises (%)	4.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Business competence, importance 5, competence not at the needed level, share of enterprises (%)	1.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Business competence, importance 4, competence at the needed level, share of enterprises (%)	11.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Business competence, importance 4, competence not at the needed level, share of enterprises (%)	3.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Business competence, importance 3, competence at the needed level, share of enterprises (%)	26.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Business competence, importance 3, competence not at the needed level, share of enterprises (%)	8.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Business competence, importance 2, competence at the needed level, share of enterprises (%)	11.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Business competence, importance 2, competence not at the needed level, share of enterprises (%)	6.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Business competence, importance 1, competence at the needed level, share of enterprises (%)	21.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Business competence, importance 1, competence not at the needed level, share of enterprises (%)	6.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Digitalisation and data, importance 5, competence at the needed level, share of enterprises (%)	8.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Digitalisation and data, importance 5, competence not at the needed level, share of enterprises (%)	2.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Digitalisation and data, importance 4, competence at the needed level, share of enterprises (%)	12.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Digitalisation and data, importance 4, competence not at the needed level, share of enterprises (%)	6.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Digitalisation and data, importance 3, competence at the needed level, share of enterprises (%)	19.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Digitalisation and data, importance 3, competence not at the needed level, share of enterprises (%)	10.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Digitalisation and data, importance 2, competence at the needed level, share of enterprises (%)	10.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Digitalisation and data, importance 2, competence not at the needed level, share of enterprises (%)	6.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Digitalisation and data, importance 1, competence at the needed level, share of enterprises (%)	17.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Digitalisation and data, importance 1, competence not at the needed level, share of enterprises (%)	5.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Skills related to creative work, importance 5, competence at the needed level, share of enterprises (%)	2.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Skills related to creative work, importance 5, competence not at the needed level, share of enterprises (%)	0.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Skills related to creative work, importance 4, competence at the needed level, share of enterprises (%)	3.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Skills related to creative work, importance 4, competence not at the needed level, share of enterprises (%)	0.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Skills related to creative work, importance 3, competence at the needed level, share of enterprises (%)	12.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Skills related to creative work, importance 3, competence not at the needed level, share of enterprises (%)	9.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Skills related to creative work, importance 2, competence at the needed level, share of enterprises (%)	13.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Skills related to creative work, importance 2, competence not at the needed level, share of enterprises (%)	10.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Skills related to creative work, importance 1, competence at the needed level, share of enterprises (%)	20.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Skills related to creative work, importance 1, competence not at the needed level, share of enterprises (%)	24.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Cooperation and networking skills, importance 5, competence at the needed level, share of enterprises (%)	4.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Cooperation and networking skills, importance 5, competence not at the needed level, share of enterprises (%)	0.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Cooperation and networking skills, importance 4, competence at the needed level, share of enterprises (%)	12.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Cooperation and networking skills, importance 4, competence not at the needed level, share of enterprises (%)	2.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	No innovation activity	Cooperation and networking skills, importance 3, competence at the needed level, share of enterprises (%)	28.2
